rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1572,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,363,1,-5,-5,-10,0,-10,-15,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,4,-15,-15,-25,-15,-35,-35,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,362,4,-10,-5,-5,-15,0,-50,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,300,4,-15,-15,-35,-5,-15,-25,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,179,4,-15,-25,0,-10,-15,-25,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,4,-25,-15,-15,-15,-15,-25,0,143
1572,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,363,4,0,-10,-10,-10,0,-10,0,143
1573,E,A,Boogie-Woogie-Main Class,Final - fast,1,257,1,0,0,0,0,0,0,0,143
1573,E,A,Boogie-Woogie-Main Class,Final - fast,2,369,1,0,0,0,0,0,0,0,143
1573,H,A,Boogie-Woogie-Main Class,Final - fast,1,257,4,0,0,0,0,0,0,0,143
1573,H,A,Boogie-Woogie-Main Class,Final - fast,2,369,4,0,0,0,0,0,0,0,143
1574,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,41,2,-15,-10,-10,-15,-15,-25,0,143
1574,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,86,2,-10,-10,-35,-15,-15,-10,0,143
